query_id,answer
70DfDUpwjxB4lzFd,255fbeaf526a1cc1 355392014208b7bf 2d73dacac243ce62 73ba3172bc67d2dd b92ee8f432cec2d1 d4ebb123b83921c3 bbfd9a8c71d3bd2b 9515d1e1ecdac72c 14d535285758af89 fa01652ca5f57d0f 6fc4db453f873556 f4e8903d7689e222 d722bcda1a555091 603623b4bd9e8f6c 82ddaf2c54ef884a 95571e85156ba0fe 6042fecdd7753112 3b5ada3ffcacbbf3 bee602308dd4d4b3 deb58d7ad8c27d06 33f8d361a92bdcde cf0b70d14b674f8b 4494aa11cbdc2d65 fa4ba2c2cf71b0b1 a1df0525799ab4b5 6047e1566a959d3a 94c5ec723ea5418f 56157887d3ddab2a 347f89be8087d8c7 d7ad9f91504e4d02 6dfa83ed47d5bd10 638349a35daca252 e5a240b2eaca4e11 d01e14d2ffd4ddba 4332513c8fe7e1c9 616137eeb40fbedc acc6e16fea8628b0 c04be97528001251 4f96718256e225e4 f78d7058e1d906eb 198c47117b3869da 7381aa4b4050d789 67a46949b04287b7 fe18d6ee0f9c019c 585d85c2bbec8c0a 3253f338b45470e5 1308d41ffd1cc3a6 f077edb575e5d7a5 d15745c74b29ff6a 752a724f7ed55eb6
JTrdTaZJvSiLPkXj,422d3ffdd5bbf626 1344796085e92421 367af128a9ea2a48 cbeccbecb1fb8d86 dfa239d031b11832 efde386fb8c4f385 19165fefac3dce47 1c6d2079e07f4497 47b2ed1012de011a 01fbbfc288257fca 73ab3b0d708ea15e 427a0a8bda5b9679 14fbc6d1a2f9f588 35a0a88ef8547de9 58616767e88c583f f46f68aaa4d7de38 396da9dc8f95a5b4 cacca72b31f50e71 75be1179c1cf9418 1a1f3efb845a2473 e9cebe597677e8c6 431efbc80d59155f 88931c4cd463d124 c5110c8ce7bc03db 7e18adf210484046 9227619964c97cd4 bfe712cb2e8abded 8ab5ecc1f8361f90 d73d2694b62a903f e7c70d65edde0559 56415c6efe9263d3 0529307cdfbe4a15 664665688c35c1d0 f50963ef7dda3d19 e08d374366a8ebfb 16ea26ff0aa0450a fe05abde296f8e90 cf7cf3f80dbeeb5a 3a5fcb870e078d7e 0739b276b4e6e142 76f6173834974c44 f7cc9b020140b225 8703b2a0442c5d25 cadb904468479c51 a1d20685ee4a2b4c 4a435cc0a254c1fd 924eeb5f60acf384 523030d8a853e7c4 413f6384e3c07b64 5fb8205a8c106545
LZCZNoVG4AFUkVRJ,d62074dd39caefee 3f89b8062dc85f1c dab52187b4500d9b edecb3695ab88901 168a9207e80b0be4 d8fce513e4f000a7 10eb6d6da3230bbb c1abf382ab9a79dd c5d21c0e8c1cdb2d 3b370cc603f67947 5c3ee000a94c97a4 a9840be7d8930cd1 d8b9d06b50158c04 005a523a0efbc62b 0b1c884e6c242ea7 35a357d7a0777087 965d4e5fe7062419 ffa57569baf9bf6e 597e24ccf265b201 ab1a2e6b18e6d75a 53fc0e81b65d6289 f687490eb8b38367 974b459d83fc73c2 e14f5fb01fd62b4b 0c82dcb07c43fbc5 3f155e092f6b52f3 d8e11672a3a3b1db 747adf1ec178da7a 449711e696e8856b bc5cfc9ad5b36256 f03a082e6a709bf3 7347ccc4bdcfde01 65f998d38467560a ee58129557cfa95b 0a2a312988225650 c6e4d72fbdddb0c2 d69aa82a671914c3 da766eaa5b580693 a461751752fcbf14 6c311e61cde9bac2 b111a406629bee53 0d06660c7c30724e 33757d777da644a0 5ffe557615057a8c 08a5a810e06168af 3b55d761d507da7e e84d19a8353b09db 690ee542d3e84376 ea5ae87445c6055a 8085d59d5c4c4838
660ac9QVtXkRxZC3,af91ec4a29b66636 bd2cb4500fad728e 67b2cd847669eb36 4c15e7abba063ac5 e42795fcb72962a5 5b8181f009aea80e 3cce43c811459438 a846a2a5241e1180 da18e5119a944f0b 1e5924dc546b82c1 0ccc2d9667763ea3 62be8c7f2a81aa9b 2babc4b2f86c9376 2cdb21ab3830efa9 3e76e71f9e7867a5 3b781361d56cf997 4816fc8b40866f56 f9028eecc17d9dd0 134c28fb359a5712 c6348326b4a3b3a0 db04fd609245f490 aeef48c7e48ae24c 8516cbd43d0677c9 d8f21e0f7becfcd5 af0573e3ad296803 1638f8d5f70d6f04 c9bc66a622f422d2 d1a4500091360450 52bb41bec8c09542 c277a95f79de2898 b99cfe655e928260 5d19b7b4bdde08eb fe6f9f15ac60c3cb 33320f776a31cae2 b2ec8e0e6f918f16 5b652a40818206a6 681fe2d7682200f6 bcf90aead09ae25d 49e290ab4300cfc4 e57db22572bf3c27 58b6e9559a970b83 8925c1ae30327290 871a7879d42d1fe0 8a95ee1ec69302f4 efd1cc78ffcb3b79 b8f9bfae96987bda 55753797ef5ada27 c3aead4caea547e7 a076e4a50a13edb2 a7b722f82dfaeb82
YgHcM9MVbxKnxD1e,1a62634394544781 9c41fe789f98d702 615c73ea4c3bfd15 ba78ad593ec3412d 13f58fe9542bdb1a 53f9c8caeeb8111e 60e3b99111bd032b 4ef5ba70fa9baaef b8603925d28a8c99 94cce9ac398a8f4a 5008e2463b0c0526 33539f478a2ca02a 0c8a36e283d43f46 0f2830cc25924065 38f7cea86e2064f1 9502b74b2d61c50e c15a07821acfd1de 407e6f8c8891a01f 442b0ab445da8fa8 e88641d6dcf18b42 4ecc192a6da5b575 3522ccc98c60efd8 aee13260d864d401 e09647d3c173314b c539e0661217b8eb f84e2e12043c211c 0da6f81229980968 8138a7b391e29034 c872da167e910435 9d8fc4400778047d 2811287ccd261c09 4265411abbbf405a 49c9037c696e8925 fb0bf6077c59c5a2 7476c2f3ad236a47 757e8ade65e15b16 cba533b4d734504c 338b00282cb62a9e f23e3caec0202f5f 940caca6051922cc 0181cdf16470a86b 1736ea24d6cd586f bcc1cd1d0d27167e 0ee32cdd3c68fefe 6512376fc63b409e b429bb253a967e2e eb0f872be57f5c59 9c1a7044c25537f7 23bc4a9372c16c12 f65e19416c15b1d8
Fn8uGfYsaUS86ak6,efd1cbb4bff99da8 e3f278c4400772bd c6ddc1fc25886253 1ebd6968953200ee b9982354b0f9b488 44853116720cebf8 1a0fd0229092f93a 61857fa438e615aa a3f003d075e3dd83 5fd350394c4e65a1 38d86757951c36dc 6a254eaa5e3cbcaf d384b46b93bf53b4 8e89c37ccf03e9ad 138ebf716562699c 6acdbf2dba17b143 017bb20f4533c6f4 f6248730c66364a5 b7dbc713f1287dae 9328083d57dc2ecb 9d80c5569bb55f4d 8ff32856b99b223a 67046e3c5492df3e 5d6fc47a7f0e1abe 8ed055fba8c69bea 1b57e78ed4d89c93 470c9b814c5f01db cec2129b96de2003 6f62d35257e7a261 282c376762a9bce8 98d326ba81fe3f24 8a017a8dfb66f997 e4d73ff84d102409 1e6c849543277e26 a5b439f86471cead 2f2946d353283dce 04b3c9d52d80b499 f9a1d76720a2fd92 f561c13076e6bf30 6f7096b477f898df cc19dcdc0a74058b 1ff9c80277e5e5bf 4be7b9267ce30093 77591840de7e9360 03528664f8be42dd 8b1b129cff51b524 4030be553978c72e 55b42f2a9d801f9f 1fbe566c17c1c988 5608e1f8f203f7f0
u4hftjenWqHZoMep,bfc4346cd7fe091f 6159d0a9012f6b13 b0896578a785ce44 f7ed83d74c968bd4 d0a1eeeb46bda2ef c9021873c1f2511b 144d5e7f963f9a97 57dc728ccb851c30 4ecfd12428c444fa 1a3daa8815cbd80e 0cfabc56b1cd4816 83b88c758270dcfe 24370b8d2003ebfc 7ad464454b711615 e45c6c6c7afe87d6 7ab3158075b21fb5 4ed8df21d84d4a06 7a60e1d73f70774c 52b552798a34129b 93095d3a5b2aff5f 3fe3cfbf10720ad6 4638da6d64063c3a bd66d2fbc4a94e48 118e63c31106f1bf e1ea0056989466b1 a675e248f712dc73 5dacf594473fe363 ee1fefdbbe3b7112 11ae4d1b31ebd7e2 d237fac5a6cb9f5b 25fa4c1bd5b509ac 8449561836ba936c 71a7af70f8c42d25 bdf6b93538e3573f aedfffed94c3a134 653eb284efa97aae dfb331f8319d14c0 dcff1fbd78de9860 c13b880292455ad1 5ffc4c0899a8903d c5314e8fdfbf5b0b 1c90b2e7c7e35d94 6f2185599cc623f9 a6701cb128fe8ebb 15fe3524414f4784 71afe91759fa58b4 b6f7441bcad9e5d5 9f338b23aa1b5f26 bd4ed23c1f550bd0 392a1302a737d219
2Ysms04CH0JxFR7M,376b59a44a9b7fde ff14cbd8d906719a a1ce355c874ba851 1a4ad9abea6976bf d7383729fe99b54f 48fb9b26f3ab9085 2021792912211cc8 cd8a55e63e6ab416 2ec74c681dda0a47 9b746cef1e3ebe28 4e2cb3c6fe0f1376 4eab8b78558b6cb7 7cd161f77b76b004 d6161215ffaba51b fa0facc1035123dc d88cf31055f8f2f9 831141431ca6022b e27b8a70862f28a9 d39a335d58289043 c367d367efd7e4bf 27514aceb5aeb5b4 ba854086d29b49b8 0749b0eac68ddfa2 866937840b197999 9e6898aa5a012ad4 e3f2e9efeb9d1b5a d1254ee38f8a30e6 d765d8511e57bd2d c57e284d60a66f9b f4bc1d7e5f5c5d38 1d3eb18e863c9dbf 4ab5d95e3dbd0660 17e2f34cbfa91878 af875b8598f2f28f 506ac05aea4d3cfa c0d70ae4e886b4de c4b44fa04e075c00 67cc1ef771b75c1b 8813e553f11408bc 8d851f33231a1d3c 75720223ea9155af 66d2f6f3fb967645 f4eb209fcdf767f3 f5e4a55ea9712fdb 2cbb06c82bc123db 0dcd4085e5061e40 9972a497c9dcd441 d8f086e366695a07 c33361da32aa551f cf529fa68f2e9dcd
C87NmbDEECz55BdJ,772bdac5eb711ff6 8d368cec78617ab7 47d69ab911f7e876 d93f9fd25c34020e 985dc437fea08791 94c4ccd762aae19f d5481806b6e8dfde 639d85039afd302d 17d852af377fc179 8e27e0145ab2d9ee 1210ead0ad9cacdf 58c8bb4cda560a90 42b32e2a4f2e1a0a 503fa42b3135b07a 3482673a7d6aceca d53ed1b5ee04124b 86de71c66dd2773e 60da3b17af6c67c6 e0f567b0b56f901d deb926c50529931b 5bee8aed3480d143 272fb9d939705fa2 c110cd29cc7b359f 7d3079ea89ea3327 ae71662e1cd76c33 24f65a1ed155d3f6 03d74f1e16c5cb36 a2fe5220900a341a c91e07de79c2df3a 9f69c8903ff81799 7c1fd27bf3023a09 0489ab346368fb43 102b9907088f7929 41206f1973ec29eb c143762ac93699b4 ee2f146957fc71da 4f5b402688684e75 312eb6d5e3c97fe5 104da90f582eb10b 2fda907fd6c2e822 77b7b1e4713c0a38 5afbf6db81762374 d1cf724317693f3b 325cb0e9cc186e77 a317a15b20ded8b5 8a3262a14d684aa4 129061ce491b9036 85b17954f7d56ce1 010db753a547e8e0 bbbf49683b362119
bTF8nFanljgh7MYg,12f8eb8fc5bcf830 e1a509061db4365e ffb293d728ad43a6 45751ba9f5ef2a7b 95d6e5ef0d0d0024 3b1daa74cc3b525b 8673e52d7a10e87d 5fe9106b02d139f8 a2e5965b7fb44ba0 1ef0d3d4bf13d4e5 ff0fa20dc2ab50f5 adb24f7adbef70ff 88c1ca26292dbdff 2e07853eb7febd93 a37577e9aafbd972 627ca4f7dc9fe638 09e9fea66d9b18ed bc6fe8709b827527 affbf2edd14e7e00 495994dc327cbdd5 54a253cf01bdf010 33de3813f4dac961 6f9ecabf50905914 a7805f280da53d7e 070b67d8d87a7d16 1f9673dcc275ea7d 40db738f6e3d8f79 4d7b0cb1624f6e67 f1a94922489fe1ae d8c5823d7834383e eada6001af353f25 1b9f35bc027398e9 23f3280ede045344 1555a20631f724fe 236cfb6de65567c3 0f3198d0ad020e41 fc2dc29bd4e0ea43 34ab0bb20af3b420 528c31a90ab832eb 6ae542fe72266c91 b27dee159dbdd602 3d26d2c0b408743c 6f99893dba351019 4382906f52eed217 7e9b30ad1ca77ac7 7d83d2d84dca235f 5e93a81c94d07a33 b62d88317a244215 de800bef25ee3993 7e956132fdb6055d
